Titre,Type de contrat,Bac,Durée,Début,Nom entreprise,Localisation,Description,Salaire,Period. salaire,url
Stagiaire Fab Lab - Miliboo Connected,"cdd,alternance",,12 mois,,Miliboo Connected,74650 Chavanod,"Qui sommes-nous :
Spécialiste du mobilier contemporain sur Internet, Miliboo Connected est une filiale de Miliboo.com, qui a pour ambition de proposer au plus grand nombre des meubles connectés, design accessibles, conçus pour être faciles à vivre et expédiés en 48h.
Fondé en 2005 par Guillaume Lachenal, Miliboo.com conçoit et édite un mobilier de qualité, adapté au quotidien et met toute son énergie au service de l’innovation.
Miliboo.com, c’est un catalogue sans cesse renouvelé et une traçabilité garantie à 100%.
L’écosystème Miliboo.com et Miliboo Connected c’est :
· Un siège basé à Chavanod (à 5 km d’Annecy)
· 2 showrooms parisiens et 1 showroom lyonnais, les « Miliboutiques »
· Une plateforme logistique basée à Saint Martin de Crau (13)
· Une Filiale Espagnole basée à Palma de Mallorque
Rejoindre Miliboo Connected, c’est rejoindre une équipe de collaborateurs-trices engagé(e)s, audacieux-ses qui s’épanouissent dans un environnement en perpétuel mouvement.
En pleine croissance, (39 M de CA cette année), nous comptons poursuivre notre progression et recrutons des talents pour rejoindre cette belle aventure.
Dans l’optique d’accroitre notre capacité de prototypage nous souhaiterions rendre opérationnel un FABLAB comportant :
- Imprimantes 3D
- Machines-outils à commande numérique (CNC)
- Découpeuse laser
- Découpeuse vinyle
Ta mission si tu l’acceptes :
- Piloter le projet de sa conception à sa réalisation
- Planifier les étapes et tâches liées à la mise en fonctionnement / livraison du FABLAB
- Organiser les différents espaces de travail
- Présenter les solutions logicielles et matérielles envisagées nécessaires à l’élaboration du projet
- Installer et mettre en fonctionnement les machines
- Rédiger les procédures d’utilisation et supports de formation des machines
Qui recherchons-nous :
- un(e) stagiaire issue d’une école d’ingénieurs
Nous attendons de toi :
- Capacité d'écoute et aisance relationnelle,
- Pédagogie et capacité à travailler avec une grande diversité de partenaires et d’usagers,
- Goût du travail en équipe, autonomie, sens de l’organisation,
- Créativité et capacité d’innovation,
- Capacité d’organisation, de suivi des activités,
- Gestion et anticipation des risques et des aléas du projet
- Curieux.se, pédagogue,
- Une expérience dans le domaine digital serait atout
Nous te proposons :
- Lieu de travail : Site de Chavanod, à proximité d’Annecy
- Stage de 6 à 12 mois
- Durée de travail 35h par semaine
- Formation à l’utilisation des machines spécifiques
- Salaire selon la convention collective
- Disponibilité dès que possible
Nous t’attendons avec impatience!!
Type d'emploi : CDD, Alternance
Avantages :

Participation au Transport
Réfectoire
Titre-restaurant

Programmation :

Du Lundi au Vendredi
Périodes de travail de 8 heures
Travail en journée

Lieu du poste : Un seul lieu de travail",,,https://fr.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B84SG_hz4LdCPvNX-dC0qy9w0wEm6NC20Opx-Ulw2kbsfYZ8AAUgbRJ7fthV0xZWKvF003o7hzInGLwDHYuEXleu_znp8Ylr1gp8qqAjeWGRpA5USLTu6TxYG6v3ubkrDzQQj2tP-9LduDcxHKdfvs2udAoVQiFDh6TCtbmFMArOcFqbSvY4SgMQk-o570NYjgWdZOe332a-d09B-iDVEigWsUOWnKC6oZx5vKYTsPJetR_SFtaUMxSfJiBUZQwJ8rqzTI0Zg3zMAts90ZfZCKqvuX4RW0V8E0_2qyYK0GbNcZMYt4GRoq1T8AjmCMJzBWAVedNiPk2IFDuX9m01SbpEOQqRP_rVsrL67Od5ifYGXyVQ2NsGPhWSWVJfE6scI0KPaYDAz9giehIZj6xXMTNxtLV1TLSqD0KQUXx3VOqzTC1dG3kSDJSrxuBT62ZRZdXxo8UQnyOLPwgrvSEtnx0StJFfLsgHexgHBdQ205DbgOWTfwShVT_2wjri-MhUiaXO6bG5Ig-HezA1CDT9Cf&xkcb=SoDY-_M3Tgph1mwNK50MbzkdCdPP&p=0&fvj=1&vjs=3
Tourneur Fraiseur H/F,"stage,cdi,alternance",Bac ,,,ALLIOSS,Montchanin (71),"Lauréat de France Relance, Allioss, accélère dans l'usinage de pièces de Grande Dimension (jusqu'à 40T), en liaison avec nos prochaines nouvelles installations.
Nous accueillons en stage, alternance et CDI des jeunes en formation, pour prendre ensuite la responsabilité de nos fabrications unitaires ou de petite série.
Fort d'un regard précis sur les plans de pièces mécaniques, doué pour la programmation numérique de machines-outils en production, très intéressé par un travail de précision (au 1/100e) sur des pièces de grandes dimensions (plusieurs mètres), sont autant de points forts à votre candidature.
Le poste est basé sur notre site de Montchanin. Le travail est posté en 2x8, avec possibilité d'heures supplémentaires. L'exigence et l'esprit d'équipe qui nous unit fonde notre performance.
Bac + 2 requis
Personnes avec expérience bienvenues également - rémunération attractive correspondante.
Type d'emploi : Temps plein, CDI, Stage, Alternance
Salaire : à partir de 2 047,55€ par mois
Avantages :

Épargne salariale

Programmation :

Heures supplémentaires
Périodes de travail de 10 heures
Périodes de travail de 8 heures
Travail posté

Types de primes et de gratifications :

Heures supplémentaires majorées
Prime annuelle

Capacité à faire le trajet ou à déménager:

Montchanin (71): Faire le trajet sans problème ou prévoir un déménagement avant de prendre son poste (Exigé)

Formation:

Bac +2 (BTS, DUT, DEUG) (Exigé)

Lieu du poste : Un seul lieu de travail"," à partir de 2 047,55€ ",mois,https://fr.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CKEBh8PGJT9eoUHcyhd1zZJLVjFxhM3Ae9ErRIAS2Tf6U6iEepHpvGADmRiz-4M-QPcESK-twJ2Y9uTpqri-HALslyJfVzCksjaBtt_eiKDyPr1ppZYr-w3zXACCGjDSVmER8kCMuePrh65B-EOsuq0ktZRKPjIcYD8xwz-M2Pp5q2lS2HrVmqDfaxEMsGPQub9M_uClNSiD8xFVv4B-SsZs8xfXeH0Q4EC9zy4YXyCuVo0xUWgOk82Ucpfov_iJK4P2SQEGN2ATBcRaCu-wF2Khot1EOSiTgoaZFYOnoxOGMVqWfooav0HkqzkhtBkm5kcKGZCcz_8wdV3DWzXdjwJKt-uOY-6rK2FDKmcAzuwOwU_qFbbr0ByXNGL69hcHlXQW7d-O99cuprgz94oRaWOudEyDJwOAmLezAcUkZTBk2rvVAhxxCyznEVrCoxgDbsU7QTyjCZ8_-pjdH18YYAHIM3WbUzZ7rfrhXMOgABJaIPF0kfSZiVZtnRTmNC2JE=&xkcb=SoCF-_M3Tgph1mwNK50CbzkdCdPP&p=1&fvj=1&vjs=3
Chef de projet Marketing en Alternance,alternance,bac,,,OpenClassrooms Alternance,Paris (75),"Avec OpenClassrooms apprenez un métier qui a de l’avenir grâce à l’Alternance et décrochez un diplôme de niveau bac +2 à bac +5 reconnu par l’État.
Développez des compétences recherchées par les entreprises et soyez prêt à l’emploi immédiatement grâce à nos formations 100 % en ligne.
Notre entreprise partenaire, une agence en conseil leader en stratégie digitale et social média , recherche son Chef de projet Marketing en Alternance.
Les missions d’un Chef de projet Marketing

Réaliser des études de marché et un audit marketing pour enrichir la stratégie marketing.
Définir et piloter un plan d’action marketing (SEO, online acquisition, RP, etc.) pour atteindre les objectifs de l’entreprise.
Définir et implémenter une stratégie éditoriale et de contenu pour accroître la cohérence et la différenciation de la marque.
Animer une communauté sur les réseaux sociaux, gérer une crise pour augmenter la notoriété et la préférence de marque.
Piloter des projets de marketing digital complexes pour fédérer les équipes, prioriser les tâches et faire avancer vos missions.

Prérequis à la formation

Niveau d’étude : le niveau initial requis est le baccalauréat.
Langue : niveau B2 minimum en français demandé avec un certificat de moins de 2 ans.

Pour postuler à l'alternance OpenClassrooms
1) Candidatez à l'annonce en remplissant vos coordonnées (Nom, Prénom, adresse mail)
2) Vous recevrez un lien instantanément afin de compléter votre candidature à la formation. Attention à bien consulter les prérequis obligatoires de la formation pour accéder au diplôme.
3) Notre équipe de Talent Recruiters vous contactera très vite pour un entretien de pré-qualification
Scolarité, prise en charge par l'employeur. Aucun frais à engager pour les alternants.
Pour postuler à cette offre en alternance, vous devez faire une formation diplômante avec OpenClassrooms, ou réaliser un changement d’école dans le cadre d’un contrat en alternance.
Type d'emploi : Alternance
Programmation : Du Lundi au Vendredi
Périodes de travail de 8 heures
Repos le week-end
Travail en journée
Type d'emploi : Alternance
Programmation :

Du Lundi au Vendredi
Périodes de travail de 8 heures
Repos le week-end
Travail en journée
",,,https://fr.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BMABqt-7e8ID0RaR6SJASz4dB9L8cbMUr95Acwx8L6f48pdE3hCWYAvL5Th6T51j8KcI22v0QP-sxGsJeaAS5Ox8DHXAkjfpV540paN4P7EQ_4yWavVu5MStAdSwynLZaxooaSZkPcBd-l-kZBfQCyfStqlyasIhqT3GbBLWAatSA9OdhwZAQMQpXGkzBdP1Xdo7-os4D0mXMYFB7x3645T63oSCAHM5VyBtUNW5l_B62wYCCB6-CTqdEd5b0F4bjm36S2BC4TAxgqUX1zu3ATHPIgXhCEhrDsOuGtzXb3Okx4GsFxuJCk-a7aRB7DXWoevWO8pcRpliM6q_HHCpuLDNYIhCUNgHElAT70fr3mEwmlGYmTmjzWcYMwvA-IDtecWjJeJ-MS0JaW_kj6gZW2jlokJmZcB4PZbTcazl9oD3U3W-v08xVY1CB_ZFxcApClKuIG3215oCE_uSoK8k_bny3JdYM7ilXKkkMDse3a9iHw0f0tKpM_FD1BfLGYJsYnMSpqKVY4GKtzvgBa4fNFK70eqUCtqPsk6p5Mg5hvni2OOYdnKoZcdlpBu1eCwQc8dauGTUXjBwUDlDBRJN0WwxUXmFaZo0Eg2uHQYOveBLDeajbQ3VGpfddrkQPcQyCjpGllQ_POidBZFyb2w1AZGurboMOIW5FD9xOZRPU0BUCOwOfPx2vlyHBpDtQ0iAcl7eDAy8aDhMv-2rtULhq61gV4UsKVaQPpXbIU_FJv_yYLlUQ78Ypzv5Qt3DdDCXWysbxHf7mlAA==&xkcb=SoDg-_M3Tgph1hQNK50LbzkdCdPP&p=2&fvj=1&vjs=3
STAGE DE COMPTABILITE H/F,stage,Bac ,4 mois,,SHILO CONSEILS,75010 Paris 10e,"Sous la responsabilité du comptable, vous serez en charge des les missions suivantes :
- Classement et archivage des documents
- saisie des factures clients et fournisseurs
- Rapprochement bancaire
- Lettrage des comptes
- Déclaration mensuelle de TVA
Type d'emploi : Temps plein, Stage
Type d'emploi : StageDurée du contrat : 4 mois
Salaire : 615,00€ à 1 000,00€ par mois
Programmation :

Du Lundi au Vendredi
Périodes de travail de 8 heures

Formation:

Bac +2 (BTS, DUT, DEUG) (Exigé)

Lieu du poste : Un seul lieu de travail"," 615,00€ à 1 000,00€ ",mois,https://fr.indeed.com/company/SHILO-CONSEILS/jobs/Stage-Comptabilite-83d70bbf989f68ee?fccid=605c363a00c96ceb&vjs=3
STAGE Développeur foncier projets photovoltaïques,stage,,6 mois,,CITEVO PROMOTION,Paris (75),"La société :
Citévo, c'est une nouvelle génération d'acteurs du foncier qui croit - et prouve - que l'on peut toujours créer du logement en zone dense.
Plusieurs équipes se complètent entre analyse du tissu urbain, pour y dénicher de nouvelles opportunités, et coordination des intervenants sur les projets de nouveaux logements, pour s'assurer de leur aboutissement.
Cela permet ainsi à des milliers de personnes de trouver une nouvelle maison ou un nouvel appartement, tout en luttant contre l’étalement urbain, véritable catastrophe écologique.
Le poste :
Le Développeur Foncier en stage assure l’identification de fonciers et de bâtiments permettant l’installation de panneaux solaires photovoltaïques. Il recherche et entre en contact avec les propriétaires.
Accompagné, épaulé, encouragé, il contribue à la croissance de l’entreprise et à l’accélération de la transition énergétique.
Les missions :

Prospection à l’aide du cadastre et de vues satellite
Qualification des bâtiments et fonciers permettant l’installation de panneaux photovoltaïques
Recherche des informations propriétaires
Contact des propriétaires

Type d'emploi : StageDurée du contrat : 6 mois
Salaire : 387,45€ à 620,07€ par semaine
Programmation :

Travail en journée

Lieu du poste : Un seul lieu de travail",,,https://fr.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CqO4UTTz2QIM6rh_FMisboWUeaB4qgnoa0R7VvIEyvADXDwqSPcmAOOJeAdFKPR4n9hGOTGUQVw2a0G5DTKn_ue--cQns6yLOJn9pYakkzeoqkSyKniW0AFwCQIhf21AqU6sMcQrwGJTTX_CK-b3oGE4J3z2l8yYuFP6GYGAog1pN8eAkWZWUXmOU8fv6MrxhPvTkkQanDl_1PO4GWtQ_2Qg5fbxxA3uGV6G8OStRUpWHmL7AzfG1Vv6el9Di9pgc0o3QWNVeI_uWLmRWb_r56R5CGU2L39mz59HOUgXJLUzgxf8yV5ka6ny2bFIBHumHNlVQRf0LVfexlm0ZqZjTHxNzYsb-ug2vkaeZoMWKSqatHPxliqNJDNroTOpq0DShWlafPxe8yFv08NPmUt_MXVtCWlBdx_qdrIytUYwfuO8d0UEl2oJHb6T6AEM-kh72nrTfTBwcWFTfubdy_KwwNbLU4z6Yjf9kosGWU4ESaAShrgdut-26DvDJOxjacSVY=&xkcb=SoDJ-_M3Tgph1hQNK50JbzkdCdPP&p=4&fvj=1&vjs=3
Stage Etude des procédés de l’hydrogène liquide H/F,stage,,,,ENGIE,Paris (75),"
ENGIE est un groupe mondial de référence dans l’énergie bas carbone et les services. Notre raison d’être est d’agir pour accélérer la transition vers un monde neutre en carbone, grâce à des solutions plus sobres en énergie et plus respectueuses de l’environnement, en conciliant performance économique et impact positif sur les personnes et la planète. Nous nous appuyons sur nos métiers clés (gaz, énergies renouvelables, services) pour proposer des solutions compétitives à nos clients. Leader de la transition énergétique et guidés par notre raison d’être, nous rendons possible la transition vers la neutralité carbone des entreprises et des collectivités territoriales. Nous nous appuyons pour cela sur nos positions fortes dans les énergies renouvelables et dans la production thermique à faible émission de CO2, sur nos compétences dans la gestion d’infrastructures, pour proposer un modèle qui mise sur la complémentarité des énergies et l’adaptation au besoin de nos clients. Pour accélérer cette transition, notre stratégie se décline en trois priorités : Accélérer les investissements dans les actifs renouvelables avec l’objectif ambitieux de passer de 3 à 4 GW de capacités renouvelables par an , renforcer nos investissements dans les infrastructures et recentrer nos solutions clients sur la production d'énergie à faible émission de CO2, les infrastructures énergétiques et les services associés fournissant des solutions sophistiquées, intégrées et à grande échelle, aux villes, communautés et industries.
C’est dans cette optique que le groupe ENGIE a la volonté de fortement développer les activités hydrogène renouvelable pour les années à venir. Produit à partir d’électricité renouvelable, l’hydrogène renouvelable est une solution pour décarboner l’industrie et la mobilité et peut servir également de solution de stockage d’énergie.

Au sein du centre de recherche CRIGEN, le Lab Liquéfaction développe des solutions technologiques qui permettront l’usage de l’hydrogène liquide pour la mobilité lourde. Dans ce contexte nous avons lancé un programme de recherche ambitieux portant sur la liquéfaction de l’hydrogène.

   Le stagiaire, intégré au projet LH2 du Lab Liquéfaction, aura pour objectif de travailler sur les sujets suivants :
   

Modèle thermodynamique appliqué à la liquéfaction d’hydrogène ;
Optimisation d’un nouveau procédé de liquéfaction d’hydrogène ;
Evaluation technique et économique du nouveau procédé simulé ;
Participation au design de banc d’essais ;p
Intégration à la chaîne de valeur de l’hydrogène liquide.


L’étudiant sera intégré au Lab Liquéfaction du CRIGEN et travaillera en collaboration avec le Lab H2 du CRIGEN. Il participera à un axe de recherche majeur pour le groupe ENGIE et sera amené à collaborer avec différentes entités du groupe. Attention le poste est à pourvoir à Stains (93) - RER D Station Pierrefitte-Stains

",,,https://fr.indeed.com/rc/clk?jk=99e34e6a5d0bbfa9&fccid=52c6413667d142d3&vjs=3
Investment Banking,stage,,,,GP Bullhound,Paris (75),"
The role offers the opportunity to work on some of the most diverse technology transactions, primarily across sectors including software, fintech, digital media, marketplaces/e-commerce, and digital services. The ideal candidate will have previously completed an internship at a leading bulge bracket investment bank or corporate advisory firm. They must have a genuine passion for technology and investment banking, should come from an excellent academic background and be highly numerical and articulate. The candidate must be a team player and keen to take on responsibility. Key qualities include being able to demonstrate an entrepreneurial mindset, being considerably self-motivated and having a high degree of stamina to work within a high energy and focused team environment.




Pitches & marketing - assist team members in preparing pitches and updating marketing materials with sector research and analysis 
Sector coverage – performing independent research and various analyses of technology companies in support of new business generation 
Transaction documentation - supporting the preparation of investment documents (e.g. executive summaries, investment memorandums, investor presentations, financial models) 
General support on M&A processes - involvement in assembling, developing, and/or editing information requests, due diligence lists, confidentiality agreements, proposals, and management 
Team work - working together with our teams across Europe, US and Asia 
French on a native level is required

",,,https://fr.indeed.com/rc/clk?jk=ae25bf013311bb64&fccid=67c15e1b73786fed&vjs=3
Data Analyst en Alternance,alternance," baccalauréat ,bac",,,OpenClassrooms,Paris (75),"Avec OpenClassrooms apprenez un métier qui a de l’avenir grâce à l’Alternance et décrochez un diplôme de niveau bac +2 à bac +5 reconnu par l’État.
Développez des compétences recherchées par les entreprises et soyez prêt à l’emploi immédiatement grâce à nos formations 100 % en ligne.
Nous recherchons pour l’une de nos entreprises partenaires, leader du secteur de l’énergie, un data analyst en Alternance.
Les missions du Data Analyst en alternance en Alternance

Collecter et analyser les données de ventes ou de toute autre activité de l’entreprise pour faciliter ses prises de décision.
Interroger les bases de données, interpréter les résultats et en extraire les plus pertinents.
Modéliser les données afin d’améliorer la segmentation client.
Réaliser des tableaux de bord avec graphiques et indicateurs de suivi.
Agréger et nettoyer les données en vue des différentes analyses.

Le profil recherché

Solides aptitudes en mathématiques et analyse statistique.
Vif intérêt pour les langages informatiques, les outils de data visualisation et d’exploration de données.
Aisance relationnelle pour communiquer avec les métiers.
Anglais courant fortement recommandé.

Prérequis à la formation

être titulaire d’une certification professionnelle de niveau 5 (bac+2 ou équivalent) en commerce, économie, finance, gestion, marketing, informatique ou sciences ;
ou, être titulaire du baccalauréat ou d’une certification professionnelle de niveau 4 (ou équivalent) avec une expérience professionnelle d’au moins 2 ans en commerce, économie, finance, gestion, vente, informatique ou sciences.
Langue : un niveau B2 minimum en français avec un certificat de moins de 2 ans.
Matériel : l’accès à un ordinateur (PC ou Mac), muni d’un micro, d’une webcam ainsi que d’une bonne connexion Internet pour les séances de mentorat.

Pour postuler à l’Alternance OpenClassrooms1) Candidatez à l’annonce en remplissant vos coordonnées (nom, prénom, adresse e-mail).2) Vous recevrez un lien pour compléter votre candidature à la formation. Attention à bien consulter les prérequis obligatoires de la formation pour accéder au diplôme.3) Notre équipe de Talent Recruiters vous contactera très vite pour un entretien de pré-qualification.
Scolarité prise en charge par l’employeur. Aucun frais à engager pour les alternants.
Pour postuler à cette offre en alternance, vous devez faire une formation diplômante avec OpenClassrooms ou réaliser un changement d’école dans le cadre d’un contrat en alternance.
Formez vous avec la référence de l’éducation en ligne.
Type d'emploi : Apprentissage
Programmation :

Du Lundi au Vendredi
Périodes de travail de 8 heures
Repos le week-end
Travail en journée
",,,https://fr.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BMABqt-7e8ID0RaR6SJASz4dB9L8cbMUr95Acwx8L6f48pdE3hCWYAvL5Th6T51j_J3fAg79B8c1dfZ8lxzEjIhhH_XhIxFbQfzp83OECqUaqILzHiqfDNC5kYxEyuJBcrna2PcWtltd_LhG-v2l0H60-p44W2sqSH5N3tC7EF7w_ZROZQyOYex43HGY5GTeq4y20lNRh72SsIUyW8GI_-ida5oIRJak2WKkGYyeF33a4WR9DCKLaBhAeHWrcZT2c_S4H9YaYxUCAaZrrZHftXT5s89eiu_3TwMLisvVBlpS03kNSTX8DF1XLYvfbc3Otpl_68lw6kD1v-CNQRvXii1kch3XM4scgcOODN4ZBP-UwSEVHDzbwI1JppHGlUJMLfZkrJU5_sPexXtOZ1WBReSNkFoa1cUhjpDhH1iJVs2XYDiXzskSf6ypHdMj9HYC_OV1DPfH_-TjMIrKYnjHAkZ7RxxvRJdGqp_CGJ1EzEJ6oloV7qooDMTguGBQPkLrtvthG9O7nctqdZcBCtEK_O4KU145dWDuWyPGufpClG4pekn80PhVN5avgHsYzhnPCnD4fcSSsycdkSmfOwja77kjcfm6HiiCfROCiwb2zSg99DzX0XKI_2vgAMaCThMy3E4TutQq5hGcrU1jxvrRGrXD_UJ_n-rZAcJdf-2MRfEimWpCExBTGTEdd3N98NQ6763BlkFCuermnH2eG8CJZj0_AMRZLec_PPnfxjAelcxtVNzLtbB9JmBtnf-EwiSAstmudUUdOyYA==&xkcb=SoCM-_M3Tgph1hwNK50JbzkdCdPP&p=7&fvj=1&vjs=3
Stagiaire en Fusions & Acquisitions,"temps partiel,stage"," Cap , Master , Grande Ecole",,,UBS,Paris (75),"



    France
   



    Business management, administratif et support 
   



    Global Wealth Management 
   


IdDemandeAuto

    270953BR
   


Ville

    Paris
   


Votre fonction

    Vous intégrerez l'équipe de Fusions & Acquisitions Mid Cap d'UBS France. Vous participerez aux travaux liés à la fois i) à l'origination et ii) à l'exécution de mandats de cession et d'acquisition, à savoir : 
    


Analyses de marchés (tendances, structure de la concurrence…) ;
Participation à la rédaction de ""pitchs"" (supports de présentation) permettant l'obtention de nouvelles missions;
Analyses financières et évaluations d'entreprises (DCF, comparables boursiers, comparables transactionnels…) ;
Implication dans la rédaction de Mémorandum de Présentation ;
Recherche et identification d'acquéreurs potentiels




Notre équipe

    En France, UBS regroupe une quinzaine de professionnels dédiés au M&A Mid Cap et réalise une dizaine d’opérations par an dans des valorisations comprises entre 15 et 400 M€. L'équipe compte parmi ses clients de nombreux groupes familiaux, des entrepreneurs et des fonds de private equity.
   


Ce que nous souhaitons

    Étudiant/Étudiante en Grande Ecole de commerce ou en Master spécialisé en finance.
    
 Vous devez avoir notamment :
    


de solides connaissances financières ;
des qualités rédactionnelles et de synthèse ;
des capacités à travailler de manière autonome et en équipe ;
excellente maîtrise de Microsoft Office ;
une expérience en M&A / Fusions et acquisitions
un très bon niveau d’anglais.

 Date d'entrée: 03.07.2023
   


A propos de nous

    UBS est le leader mondial et seul gestionnaire de fortune qui soit vraiment actif sur l'ensemble de la planète. Nous opérons à travers quatre divisions : Global Wealth Management, Personal & Corporate Banking, Asset Management et Investment Bank. Notre portée mondiale et l’étendue de notre expertise nous distinguent de nos concurrents.
    
 Avec plus de 70,000 collaborateurs, nous sommes présents dans tous les principaux centres financiers dans plus de 50 pays.
   


Pourquoi nous choisir

    Chez UBS, nous soutenons les modes de travail flexibles lorsque le rôle le permet. Nous offrons différents arrangements de travail comme le temps partiel, le partage de poste et le travail hybride (au bureau et à domicile). Notre culture axée sur les objectifs et notre infrastructure mondiale nous aident à nous connecter, à collaborer et à travailler ensemble de manière agile pour répondre à tous les besoins de nos clients.
    
 Qu'il s'agisse d'acquérir de nouvelles expériences dans différents rôles ou de nouvelles connaissances et compétences, nous savons qu'un travail de qualité ne se fait jamais seul. Nous savons que ce sont nos collaborateurs, leurs différents parcours, leurs compétences, leurs expériences et intérêts, qui sont le moteur de notre succès. Ensemble, nous allons plus loin.
   


Disclaimer / Policy Statements

    UBS offre à tous les mêmes opportunités professionnelles. Nous respectons ainsi la culture de chacun et favorisons le développement, les perspectives, les compétences ainsi que l'expérience de nos collaborateurs.
   



",,,https://fr.indeed.com/rc/clk?jk=6073482120b65af3&fccid=1c76c3a36f6c7557&vjs=3
stages tout au long de l’année,stage,,,,Soulier Avocats AARPI,Paris (75),"

Le Cabinet accueille ainsi de futurs avocats à la recherche d’un stage ou des étudiants à la recherche d’une expérience professionnelle en cabinet d’avocats.
 Nos stagiaires sont en général amenés à travailler avec l’ensemble de nos équipes et à intervenir pour l’ensemble des départements du Cabinet.
 Merci d’envoyer votre CV et lettre de motivation à l’adresse suivante : info@soulier-avocats.com.

",,,https://fr.indeed.com/rc/clk?jk=8d2e5d348ac30de4&fccid=63a539e96634005a&vjs=3
