,url
0,https://www.welcometothejungle.com/fr/companies/orsys/jobs/business-developer-en-stage-h-f_puteaux?q=353deb1a7cf8fee1a59d813747874bd8&o=1558629&p=true
1,https://www.welcometothejungle.com/fr/companies/work4/jobs/sdr-sales-development-representative-stage_paris?q=19eac47c4d0a4f54d27e751bbc675ec7&o=499326
2,https://www.welcometothejungle.com/fr/companies/immortal-game/jobs/ai-engineer-intern_paris?q=19eac47c4d0a4f54d27e751bbc675ec7&o=1503637
3,https://www.welcometothejungle.com/fr/companies/matera/jobs/stage-sales-business-developer-h-f_paris?q=19eac47c4d0a4f54d27e751bbc675ec7&o=601559
4,https://www.welcometothejungle.com/fr/companies/matera/jobs/juriste-droit-immobilier-droit-de-la-construction_paris?q=19eac47c4d0a4f54d27e751bbc675ec7&o=290237
5,https://www.welcometothejungle.com/fr/companies/orange-1/jobs/stage-edge-computing-api-et-reseaux-5g-f-h_chatillon_ORANG_m8d9X8A?q=19eac47c4d0a4f54d27e751bbc675ec7&o=1625924
6,https://www.welcometothejungle.com/fr/companies/mypl/jobs/product-designer-ux-ui_paris_MYPL_x3ozXNJ?q=19eac47c4d0a4f54d27e751bbc675ec7&o=1625920
7,https://www.welcometothejungle.com/fr/companies/matera/jobs/stage-junior-brand-designer_paris?q=19eac47c4d0a4f54d27e751bbc675ec7&o=1613702
8,https://www.welcometothejungle.com/fr/companies/matera/jobs/marketing-digital-stage_paris?q=19eac47c4d0a4f54d27e751bbc675ec7&o=1562584
9,https://www.welcometothejungle.com/fr/companies/matera/jobs/product-data-analyst_paris?q=19eac47c4d0a4f54d27e751bbc675ec7&o=1442445
10,https://www.welcometothejungle.com/fr/companies/matera/jobs/stage-charge-rh-h-f_paris?q=19eac47c4d0a4f54d27e751bbc675ec7&o=1438898
11,https://www.welcometothejungle.com/fr/companies/matera/jobs/finance-intern-stage_paris?q=19eac47c4d0a4f54d27e751bbc675ec7&o=1403122
12,https://www.welcometothejungle.com/fr/companies/matera/jobs/customer-care-gestion-locative-stage_paris?q=19eac47c4d0a4f54d27e751bbc675ec7&o=1396936
